Anio,Mes, Recuento Femenino ,Haber Femenino,Edad Femenino, Recuento Masculino ,Haber Masculino,Edad Masculino, Recuento Total ,Haber Total,Edad Total
2003,1,25619.00,885.56,66.98,15223.00,1204.56,63.31,40842.00,1004.46,65.61
2003,2,25716.00,902.43,67.01,15199.00,1198.47,63.40,40915.00,1012.40,65.67
2003,3,25968.00,938.39,66.96,15328.00,1297.82,63.36,41296.00,1071.80,65.62
2003,4,26253.00,908.79,66.92,15434.00,1217.67,63.36,41687.00,1023.15,65.60
2003,5,26417.00,914.79,66.89,15499.00,1225.76,63.35,41916.00,1029.78,65.58
2003,6,26626.00,914.79,66.89,15599.00,1225.76,63.35,42225.00,1029.78,65.58
2003,7,26861.00,914.11,66.88,15797.00,1238.43,63.34,42658.00,1034.21,65.56
2003,8,27075.00,923.63,66.85,15900.00,1226.46,63.33,42975.00,1035.67,65.55
2003,9,27254.00,912.68,66.86,15994.00,1225.35,63.36,43248.00,1028.32,65.57
2003,10,27344.00,922.24,66.76,16066.00,1232.22,63.22,43410.00,1036.97,65.45
2003,11,27445.00,922.49,66.77,16099.00,1245.25,63.22,43544.00,1041.82,65.46
2003,12,27506.00,922.49,66.80,16116.00,1245.25,63.23,43622.00,1041.82,65.49
2004,1,27577.00,929.52,66.77,16125.00,1237.31,63.16,43702.00,1043.08,65.44
2004,2,27689.00,922.54,66.79,16176.00,1238.46,63.22,43865.00,1039.04,65.47
2004,3,27712.00,925.48,66.76,16144.00,1247.30,63.21,43856.00,1043.95,65.45
2004,4,27798.00,931.95,66.71,16197.00,1255.49,63.13,43995.00,1051.06,65.40
2004,5,27838.00,927.42,66.75,16199.00,1253.46,63.16,44037.00,1047.35,65.43
2004,6,27901.00,927.42,66.73,16219.00,1253.46,63.15,44120.00,1047.35,65.41
2004,7,28045.00,979.55,66.69,16227.00,1291.40,63.14,44272.00,1093.85,65.39
2004,8,28054.00,962.69,66.72,16167.00,1276.29,63.11,44221.00,1077.34,65.40
2004,9,27219.00,1028.25,68.33,15342.00,1412.87,65.54,42561.00,1166.89,67.32
2004,10,27160.00,1040.70,68.34,15256.00,1424.49,65.55,42416.00,1178.74,67.34
2004,11,27303.00,1028.30,68.34,15252.00,1401.46,65.57,42555.00,1162.04,67.35
2004,12,27791.00,1028.30,68.18,15338.00,1401.46,65.57,43129.00,1162.04,67.25
2005,1,28411.00,1019.49,67.96,15577.00,1376.08,65.50,43988.00,1145.77,67.09
2005,2,28917.00,1009.62,67.76,15687.00,1368.53,65.41,44604.00,1135.85,66.93
2005,3,29124.00,1041.56,67.67,15684.00,1387.94,65.42,44808.00,1162.80,66.88
2005,4,29274.00,1107.77,67.66,15819.00,1489.66,65.39,45093.00,1241.74,66.86
2005,5,29334.00,1043.68,67.67,15858.00,1403.29,65.36,45192.00,1169.87,66.86
2005,6,28975.00,1043.68,67.51,15698.00,1403.29,65.21,44673.00,1169.87,66.70
2005,7,29008.00,1082.29,67.54,15675.00,1533.69,65.24,44683.00,1240.64,66.73
2005,8,28948.00,1302.37,67.58,15566.00,1671.86,65.43,44514.00,1431.58,66.83
2005,9,28953.00,1415.65,67.59,15609.00,1977.78,65.38,44562.00,1612.55,66.82
2005,10,28920.00,1342.55,67.59,15584.00,1724.57,65.38,44504.00,1476.32,66.82
2005,11,28890.00,1360.29,67.60,15547.00,1741.26,65.39,44437.00,1493.58,66.83
2005,12,28863.00,1360.29,67.64,15470.00,1741.26,65.41,44333.00,1493.58,66.86
2006,1,29156.00,1431.68,67.45,15724.00,1884.55,65.18,44880.00,1590.35,66.66
2006,2,29067.00,1417.00,67.43,15837.00,1851.47,65.09,44904.00,1570.23,66.60
2006,3,29026.00,1424.92,67.47,15812.00,1870.41,65.14,44838.00,1582.02,66.65
2006,4,28959.00,1417.05,67.56,15724.00,1839.75,65.29,44683.00,1565.80,66.76
2006,5,28898.00,1453.66,67.56,15654.00,1947.89,65.24,44552.00,1627.31,66.75
2006,6,28883.00,1453.66,67.50,15651.00,1947.89,65.15,44534.00,1627.31,66.67
2006,7,28790.00,1477.79,67.62,15554.00,1931.91,65.32,44344.00,1637.08,66.82
2006,8,28735.00,1478.81,67.66,15507.00,1933.25,65.33,44242.00,1638.10,66.84
2006,9,28679.00,1764.01,67.66,15447.00,2241.94,65.38,44126.00,1931.32,66.86
2006,10,28623.00,1649.51,67.70,15378.00,2116.34,65.42,44001.00,1812.66,66.90
2006,11,28569.00,1682.89,67.74,15306.00,2229.98,65.46,43875.00,1873.75,66.95
2006,12,28550.00,1682.89,67.80,15291.00,2229.98,65.51,43841.00,1873.75,67.00
2007,1,28613.00,1639.93,67.71,15316.00,2123.94,65.36,43929.00,1808.68,66.89
2007,2,28518.00,1648.13,67.76,15357.00,2171.87,65.25,43875.00,1831.45,66.88
2007,3,28414.00,1756.08,67.91,15262.00,2379.19,65.43,43676.00,1973.82,67.04
2007,4,28355.00,1686.60,67.94,15202.00,2224.61,65.44,43557.00,1874.38,67.07
2007,5,28273.00,1881.16,68.01,15090.00,2500.06,65.57,43363.00,2096.53,67.16
2007,6,28275.00,2687.88,67.99,15070.00,2500.06,65.45,43345.00,2096.53,67.11
2007,7,28200.00,1858.89,68.02,15007.00,2465.53,65.48,43207.00,2069.60,67.14
2007,8,28120.00,2288.85,68.07,14935.00,3095.32,65.58,43055.00,2568.60,67.20
2007,9,28038.00,2189.20,68.09,14885.00,2970.23,65.60,42923.00,2460.05,67.23
2007,10,28010.00,2195.92,68.12,14854.00,3026.32,65.63,42864.00,2483.68,67.25
2007,11,27984.00,2527.82,68.16,14794.00,3237.35,65.66,42778.00,2773.20,67.29
2007,12,27985.00,2527.82,68.20,14782.00,3237.35,65.71,42767.00,2773.20,67.34
2008,1,28030.00,2431.01,68.17,14793.00,3244.50,65.72,42823.00,2712.02,67.32
2008,2,28004.00,2397.08,68.23,14763.00,3222.93,65.79,42767.00,2682.16,67.39
2008,3,28004.00,2397.08,68.23,14763.00,3222.93,65.79,42767.00,2682.16,67.39
2008,4,27957.00,2692.22,68.29,14816.00,3497.76,65.70,42773.00,2971.25,67.39
2008,5,27964.00,2636.40,68.31,14795.00,3452.49,65.71,42759.00,2918.77,67.41
2008,6,27936.00,2636.40,68.34,14759.00,3452.49,65.74,42695.00,2918.77,67.44
2008,7,27925.00,2981.69,68.37,14739.00,3798.00,65.78,42664.00,3263.70,67.48
2008,8,27858.00,3255.14,68.44,14709.00,4422.38,65.87,42567.00,3658.48,67.55
2008,9,27803.00,3404.42,68.50,14706.00,4741.03,65.88,42509.00,3866.82,67.59
2008,10,27769.00,3362.65,68.55,14671.00,4519.19,65.94,42440.00,3762.45,67.64
2008,11,27728.00,3215.66,68.59,14640.00,4278.64,65.97,42368.00,3582.97,67.69
2008,12,27769.00,3215.66,68.64,14647.00,4278.64,65.99,42416.00,3582.97,67.73
2009,1,27794.00,3199.75,68.64,14704.00,4259.22,65.92,42498.00,3566.32,67.70
2009,2,27774.00,3160.71,68.72,14682.00,4329.93,66.03,42456.00,3565.05,67.79
2009,3,27776.00,3542.17,68.74,14752.00,4970.73,65.89,42528.00,4037.71,67.75
2009,5.00,28187.00,3369.52,68.07,15222.00,4314.58,64.57,43409.00,3700.92,66.84
2009,6.00,28196.00,3388.79,68.13,15291.00,4339.97,64.56,43487.00,3723.22,66.87
2009,7.00,28152.00,3396.95,68.18,15250.00,4350.59,64.64,43402.00,3731.97,66.94
2009,8.00,28145.00,3474.46,68.28,15285.00,4581.42,64.68,43430.00,3864.05,67.01
2009,9.00,28142.00,3484.27,68.32,15232.00,4590.52,64.71,43374.00,3872.76,67.05
2009,10.00,28164.00,3490.02,68.36,15199.00,4596.80,64.77,43363.00,3877.95,67.10
2009,11.00,28195.00,3495.56,68.40,15175.00,4596.17,64.82,43370.00,3880.66,67.15
2009,12.00,28258.00,3499.82,68.45,15159.00,4600.22,64.90,43417.00,3884.02,67.21
2010.00,1.00,28441.00,3499.74,68.49,15206.00,4602.01,64.96,43647.00,3883.76,67.26
2010.00,2.00,28413.00,3510.36,68.53,15142.00,4608.41,65.01,43555.00,3892.10,67.31
2010.00,3.00,28422.00,3773.39,68.59,15117.00,4862.40,65.08,43539.00,4151.50,67.37
2010.00,4.00,28389.00,3892.76,68.66,15056.00,5124.61,65.12,43445.00,4319.66,67.43
2010.00,5.00,28380.00,3940.57,68.70,15019.00,5224.98,65.19,43399.00,4385.06,67.48
2010.00,6.00,28411.00,4051.93,68.76,15001.00,5363.24,65.25,43412.00,4504.98,67.55
2010.00,7.00,28346.00,4119.76,68.80,14943.00,5492.75,65.25,43289.00,4593.71,67.57
2010.00,8.00,28258.00,4454.39,68.85,15001.00,5827.15,65.23,43259.00,4930.43,67.59
2010.00,9.00,28098.00,4520.58,68.85,14874.00,5940.13,65.23,42972.00,5011.51,67.59
2010.00,10.00,28098.00,4531.54,68.79,14874.00,5952.95,65.25,42972.00,5023.54,67.57
2010.00,11.00,28194.00,4653.57,68.85,14920.00,6063.53,65.33,43114.00,5141.51,67.63
2010.00,12.00,28206.00,4634.23,68.88,14862.00,6057.21,65.37,43068.00,5125.08,67.67
2011.00,1,28263.00,4445.70,68.91,14941.00,6016.56,65.28,43204.00,4986.76,67.65
2011.00,2,28244.00,4530.08,68.99,14899.00,6061.23,65.36,43143.00,5058.84,67.74
2011.00,3,28270.00,5012.82,69.01,14872.00,6607.29,65.42,43142.00,5562.47,67.77
2011.00,4,28221.00,5137.33,69.01,14801.00,6720.35,65.46,43022.00,5681.94,67.79
2011.00,5,28254.00,5162.96,69.01,14788.00,6741.55,65.48,43042.00,5705.32,67.80
2011.00,6,28293.00,5269.41,68.98,14795.00,6938.75,65.48,43088.00,5842.61,67.78
2011.00,7,28348.00,5721.99,68.94,14838.00,7555.08,65.48,43186.00,6351.81,67.75
2011.00,8,28365.00,5805.64,68.98,14823.00,7713.54,65.54,43188.00,6460.47,67.80
2011.00,9,28262.00,5822.74,68.97,14753.00,7725.91,65.51,43015.00,6475.48,67.78
2011.00,10,28263.00,5833.39,68.99,14732.00,7729.48,65.56,42995.00,6483.07,67.81
2011.00,11,28346.00,5872.98,69.03,14740.00,7775.81,65.60,43086.00,6523.95,67.85
2011.00,12,28386.00,5881.52,69.08,14732.00,7779.70,65.66,43118.00,6530.00,67.91
2012.00,1,28439.00,5940.72,69.12,14874.00,7842.27,65.52,43313.00,6593.72,67.89
2012.00,2,28414.00,5949.99,69.17,14831.00,7861.09,65.56,43245.00,6605.41,67.93
2012.00,3,28454.00,6225.81,69.17,14819.00,8281.15,65.59,43273.00,6929.67,67.95
2012.00,4,28461.00,6592.10,69.23,14778.00,8519.02,65.67,43239.00,7250.67,68.01
2012.00,5,28481.00,6688.19,69.27,14762.00,8707.28,65.71,43243.00,7377.46,68.06
2012.00,6,28446.00,6844.85,69.28,14745.00,9042.82,65.74,43191.00,7595.22,68.07
2012.00,7,28461.00,6898.20,69.33,14809.00,9110.86,65.70,43270.00,7655.48,68.08
2012.00,8,28305.00,6951.95,69.31,14746.00,9204.89,65.69,43051.00,7723.64,68.07
2012.00,9,28251.00,6963.88,69.35,14708.00,9217.88,65.74,42959.00,7735.59,68.11
2012.00,10,28188.00,6969.91,69.39,14658.00,9231.69,65.79,42846.00,7743.69,68.16
2012.00,11,28184.00,6984.30,69.45,14629.00,9252.08,65.83,42813.00,7759.19,68.22
2012.00,12,28234.00,6995.19,69.53,14643.00,9262.02,65.92,42877.00,7769.34,68.30
2013.00,1,28245.00,6992.95,69.56,14742.00,9251.68,65.85,42987.00,7767.56,68.29
2013.00,2,28206.00,7260.10,69.60,14705.00,9546.82,65.90,42911.00,8043.73,68.33
2013.00,3,28278.00,7346.25,69.60,14703.00,9705.95,65.89,42981.00,8153.46,68.33
2013.00,4,28381.00,7488.89,69.66,14747.00,9748.60,65.96,43128.00,8261.57,68.39
2013.00,5,28359.00,7664.58,69.66,14708.00,10059.21,66.00,43067.00,8482.38,68.41
2013.00,6,28366.00,7717.27,69.68,14700.00,10124.43,66.06,43066.00,8538.92,68.45
2013.00,7,28370.00,7872.58,69.70,14731.00,10477.99,66.00,43101.00,8763.06,68.43
2013.00,8,28369.00,8683.22,69.72,14719.00,11359.76,66.03,43088.00,9597.54,68.46
2013.00,9,28404.00,8747.26,69.75,14699.00,11484.01,66.05,43103.00,9680.54,68.49
2013.00,10,28491.00,8811.04,69.81,14722.00,11574.03,66.11,43213.00,9752.35,68.55
2013.00,11,28512.00,8868.83,69.85,14729.00,11638.88,66.15,43241.00,9812.38,68.59
2013.00,12,28446.00,8957.88,69.89,14679.00,11766.92,66.20,43125.00,9914.03,68.64
2014.00,1,28467.00,9320.16,70.00,14699.00,12226.78,66.28,43166.00,10309.93,68.73
2014.00,2,28437.00,9329.66,69.96,14754.00,12220.87,66.11,43191.00,10317.29,68.65
2014.00,3,28473.00,9341.41,70.00,14734.00,12232.75,66.15,43207.00,10327.39,68.69
2014.00,4,28483.00,9747.49,70.04,14713.00,12768.79,66.21,43196.00,10776.58,68.73
2014.00,5,28472.00,9772.51,70.04,14687.00,12810.09,66.25,43159.00,10806.20,68.75
2014.00,6,28487.00,9916.77,70.08,14677.00,13009.35,66.32,43164.00,10968.33,68.80
2014.00,7,28508.00,10147.92,70.08,14703.00,13561.51,66.29,43211.00,11309.43,68.79
2014.00,8,28480.00,11580.26,70.12,14679.00,15122.39,66.33,43159.00,12784.99,68.83
2014.00,9,28508.00,11898.38,70.13,14695.00,15561.81,66.34,43203.00,13144.45,68.84
2014.00,10,28518.00,11925.57,70.17,14680.00,15602.38,66.40,43198.00,13175.06,68.89
2014.00,11,28547.00,11986.42,70.21,14652.00,15752.72,66.45,43199.00,13263.85,68.93
2014.00,12,28549.00,12092.48,70.24,14651.00,15944.08,66.52,43200.00,13398.73,68.98
2015.00,1,28539.00,12097.14,70.26,14752.00,15949.61,66.44,43291.00,13409.93,68.96
2015.00,2,28514.00,12989.32,70.33,14745.00,16729.46,66.51,43259.00,14264.16,69.02
2015.00,3,28596.00,13056.59,70.34,14784.00,16870.92,66.46,43380.00,14356.52,69.02
2015.00,4,28627.00,13164.02,70.36,14754.00,17044.96,66.53,43381.00,14483.94,69.06
2015.00,5.00,28618.00,13918.19,71.24,14695.00,17437.86,67.43,43313.00,15112.32,69.95
2015.00,6.00,28604.00,14057.30,71.18,14670.00,17630.70,67.38,43274.00,15268.69,69.89
2015.00,7.00,28564.00,14473.96,71.10,14625.00,18519.00,67.30,43189.00,15843.72,69.81
2015.00,8.00,28488.00,16566.65,71.13,14575.00,20838.54,67.32,43063.00,18012.51,69.84
2015.00,9.00,28518.00,16600.98,71.10,14560.00,20854.08,67.31,43078.00,18038.49,69.82
2015.00,10.00,28538.00,16978.61,71.08,14564.00,21303.09,67.30,43102.00,18439.84,69.80
2015.00,11.00,28575.00,17002.89,71.10,14563.00,21323.57,67.33,43138.00,18461.51,69.83
2015.00,12.00,28583.00,17192.75,71.21,14545.00,21670.81,67.43,43128.00,18702.98,69.93
2016.00,1.00,28636.00,17572.41,71.16,14712.00,21963.14,67.20,43348.00,19062.59,69.82
2016.00,2.00,28613.00,17632.12,71.19,14681.00,22121.45,67.23,43294.00,19154.45,69.85
2016.00,3.00,28652.00,19303.06,71.24,14659.00,23703.14,67.28,43311.00,20792.31,69.90
2016.00,4.00,28728.00,20061.27,71.31,14719.00,25104.80,67.27,43447.00,21769.92,69.94
2016.00,5.00,28765.00,20347.85,71.25,14719.00,25474.31,67.21,43484.00,22083.11,69.88
2016.00,6.00,28767.00,20673.12,71.27,14709.00,26097.03,67.24,43476.00,22508.16,69.91
2016.00,7.00,28771.00,21766.99,71.28,14765.00,27074.53,67.17,43536.00,23567.01,69.88
2016.00,8.00,28809.00,21812.41,71.29,14759.00,27100.02,67.21,43568.00,23603.63,69.91
2016.00,9.00,28900.00,22231.25,71.29,14771.00,27579.50,67.25,43671.00,24040.21,69.93
2016.00,10.00,28959.00,22273.14,71.29,14782.00,27597.50,67.27,43741.00,24072.48,69.93
2016.00,11.00,29045.00,22493.70,71.30,14782.00,28062.61,67.29,43827.00,24371.98,69.95
2016.00,12.00,29095.00,22640.92,71.31,14789.00,28336.01,67.35,43884.00,24560.17,69.90
2017.00,1.00,29208.00,22820.21,71.33,14876.00,28497.09,67.30,44084.00,24735.86,69.97
